Condition_numeric,type,condition_category,Strain,corrected_individual_rate,corrected_individual_OD,order,Species,SILVA_phylum,SILVA_class,SILVA_order,SILVA_family,SILVA_genus,phylum_color,class_color,order_color,family_color
4,osmolality,~890 mOsm/kg,Varibaculum cambriense AB12_3 HM-1190,0.01108567,0.18,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
4,osmolality,~890 mOsm/kg,Varibaculum cambriense AB12_3 HM-1190,0.016114527,0.324,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
4,osmolality,~890 mOsm/kg,Varibaculum cambriense AB12_3 HM-1190,0.013029257,0.18,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
1,osmolality,~1170 mOsm/kg,Varibaculum cambriense AB12_3 HM-1190,0,0,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
1,osmolality,~1170 mOsm/kg,Varibaculum cambriense AB12_3 HM-1190,0,0,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
1,osmolality,~1170 mOsm/kg,Varibaculum cambriense AB12_3 HM-1190,0,0,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
2,osmolality,~1800 mOsm/kg,Varibaculum cambriense AB12_3 HM-1190,0,0,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
2,osmolality,~1800 mOsm/kg,Varibaculum cambriense AB12_3 HM-1190,0,0,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
2,osmolality,~1800 mOsm/kg,Varibaculum cambriense AB12_3 HM-1190,0,0,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
5,pH,pH 4,Varibaculum cambriense AB12_3 HM-1190,0,0,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
5,pH,pH 4,Varibaculum cambriense AB12_3 HM-1190,0,0,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
5,pH,pH 4,Varibaculum cambriense AB12_3 HM-1190,0,0,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
6,pH,pH 5.5,Varibaculum cambriense AB12_3 HM-1190,0,0,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
6,pH,pH 5.5,Varibaculum cambriense AB12_3 HM-1190,0,0,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
6,pH,pH 5.5,Varibaculum cambriense AB12_3 HM-1190,0,0,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
7,pH,pH 6.9,Varibaculum cambriense AB12_3 HM-1190,0.013093214,0.328,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
7,pH,pH 6.9,Varibaculum cambriense AB12_3 HM-1190,0.013834294,0.331,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
7,pH,pH 6.9,Varibaculum cambriense AB12_3 HM-1190,0.011719897,0.298,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
8,pH,pH 7.4,Varibaculum cambriense AB12_3 HM-1190,0.01278288,0.325,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
8,pH,pH 7.4,Varibaculum cambriense AB12_3 HM-1190,0.011933245,0.323,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
8,pH,pH 7.4,Varibaculum cambriense AB12_3 HM-1190,0.014722621,0.35,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
3,osmolality,lowest osmolality,Varibaculum cambriense AB12_3 HM-1190,0.014324735,0.29,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
3,osmolality,lowest osmolality,Varibaculum cambriense AB12_3 HM-1190,0.017799131,0.327,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
3,osmolality,lowest osmolality,Varibaculum cambriense AB12_3 HM-1190,0.014797534,0.296,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
4,osmolality,~890 mOsm/kg,Varibaculum cambriense AB12_3 HM-1190,0.006490734,0.232,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
4,osmolality,~890 mOsm/kg,Varibaculum cambriense AB12_3 HM-1190,0.009707591,0.227,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
4,osmolality,~890 mOsm/kg,Varibaculum cambriense AB12_3 HM-1190,0.008661535,0.194,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
1,osmolality,~1170 mOsm/kg,Varibaculum cambriense AB12_3 HM-1190,0,0,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
1,osmolality,~1170 mOsm/kg,Varibaculum cambriense AB12_3 HM-1190,0,0,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
1,osmolality,~1170 mOsm/kg,Varibaculum cambriense AB12_3 HM-1190,0,0,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
2,osmolality,~1800 mOsm/kg,Varibaculum cambriense AB12_3 HM-1190,0,0,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
2,osmolality,~1800 mOsm/kg,Varibaculum cambriense AB12_3 HM-1190,0,0,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
2,osmolality,~1800 mOsm/kg,Varibaculum cambriense AB12_3 HM-1190,0,0,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
5,pH,pH 4,Bifidobacterium bifidum BB06,0,0,2,Bifidobacterium bifidum,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
5,pH,pH 4,Bifidobacterium bifidum BB06,0,0,2,Bifidobacterium bifidum,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
5,pH,pH 4,Bifidobacterium bifidum BB06,0,0,2,Bifidobacterium bifidum,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
6,pH,pH 5.5,Bifidobacterium bifidum BB06,0.027350384,0.499,2,Bifidobacterium bifidum,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
6,pH,pH 5.5,Bifidobacterium bifidum BB06,0.028344271,0.475,2,Bifidobacterium bifidum,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
6,pH,pH 5.5,Bifidobacterium bifidum BB06,0.013550813,0.489,2,Bifidobacterium bifidum,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
7,pH,pH 6.9,Bifidobacterium bifidum BB06,0.098129687,0.712,2,Bifidobacterium bifidum,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
7,pH,pH 6.9,Bifidobacterium bifidum BB06,0.087653059,0.631,2,Bifidobacterium bifidum,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
7,pH,pH 6.9,Bifidobacterium bifidum BB06,0.160568897,0.718,2,Bifidobacterium bifidum,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
8,pH,pH 7.4,Bifidobacterium bifidum BB06,0.057034224,0.484,2,Bifidobacterium bifidum,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
8,pH,pH 7.4,Bifidobacterium bifidum BB06,0.056958394,0.506,2,Bifidobacterium bifidum,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
8,pH,pH 7.4,Bifidobacterium bifidum BB06,0.064256749,0.555,2,Bifidobacterium bifidum,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
3,osmolality,lowest osmolality,Bifidobacterium bifidum BB06,0.174497691,0.745,2,Bifidobacterium bifidum,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
3,osmolality,lowest osmolality,Bifidobacterium bifidum BB06,0.169245396,0.708,2,Bifidobacterium bifidum,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
3,osmolality,lowest osmolality,Bifidobacterium bifidum BB06,0.163814651,0.71,2,Bifidobacterium bifidum,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
4,osmolality,~890 mOsm/kg,Bifidobacterium bifidum BB06,0.044809207,0.48,2,Bifidobacterium bifidum,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
4,osmolality,~890 mOsm/kg,Bifidobacterium bifidum BB06,0.045984254,0.487,2,Bifidobacterium bifidum,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
4,osmolality,~890 mOsm/kg,Bifidobacterium bifidum BB06,0.060770074,0.603,2,Bifidobacterium bifidum,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
1,osmolality,~1170 mOsm/kg,Bifidobacterium bifidum BB06,0.000754276,0.04,2,Bifidobacterium bifidum,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
1,osmolality,~1170 mOsm/kg,Bifidobacterium bifidum BB06,0.243068821,0.044,2,Bifidobacterium bifidum,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
1,osmolality,~1170 mOsm/kg,Bifidobacterium bifidum BB06,0.259352633,0.953,2,Bifidobacterium bifidum,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
2,osmolality,~1800 mOsm/kg,Bifidobacterium bifidum BB06,0.008572755,0.04,2,Bifidobacterium bifidum,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
2,osmolality,~1800 mOsm/kg,Bifidobacterium bifidum BB06,0.015547465,0.963,2,Bifidobacterium bifidum,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
2,osmolality,~1800 mOsm/kg,Bifidobacterium bifidum BB06,0.192973284,0.931,2,Bifidobacterium bifidum,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
5,pH,pH 4,Bifidobacterium breve S1 ATCC 15700,0,0,3,Bifidobacterium breve,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
5,pH,pH 4,Bifidobacterium breve S1 ATCC 15700,0,0,3,Bifidobacterium breve,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
5,pH,pH 4,Bifidobacterium breve S1 ATCC 15700,0,0,3,Bifidobacterium breve,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
6,pH,pH 5.5,Bifidobacterium breve S1 ATCC 15700,0.063566433,0.497,3,Bifidobacterium breve,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
6,pH,pH 5.5,Bifidobacterium breve S1 ATCC 15700,0.055666268,0.475,3,Bifidobacterium breve,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
6,pH,pH 5.5,Bifidobacterium breve S1 ATCC 15700,0.059199132,0.473,3,Bifidobacterium breve,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
7,pH,pH 6.9,Bifidobacterium breve S1 ATCC 15700,0.216708357,0.828,3,Bifidobacterium breve,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
7,pH,pH 6.9,Bifidobacterium breve S1 ATCC 15700,0.187296792,0.811,3,Bifidobacterium breve,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
7,pH,pH 6.9,Bifidobacterium breve S1 ATCC 15700,0.194291085,0.896,3,Bifidobacterium breve,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
8,pH,pH 7.4,Bifidobacterium breve S1 ATCC 15700,0.332595494,1.209,3,Bifidobacterium breve,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
8,pH,pH 7.4,Bifidobacterium breve S1 ATCC 15700,0.168715117,0.798,3,Bifidobacterium breve,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
8,pH,pH 7.4,Bifidobacterium breve S1 ATCC 15700,0.17079923,0.829,3,Bifidobacterium breve,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
3,osmolality,lowest osmolality,Bifidobacterium breve S1 ATCC 15700,0.147677071,0.613,3,Bifidobacterium breve,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
3,osmolality,lowest osmolality,Bifidobacterium breve S1 ATCC 15700,0.150091432,0.628,3,Bifidobacterium breve,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
3,osmolality,lowest osmolality,Bifidobacterium breve S1 ATCC 15700,0.16280643,0.682,3,Bifidobacterium breve,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
4,osmolality,~890 mOsm/kg,Bifidobacterium breve S1 ATCC 15700,0.079571075,0.509,3,Bifidobacterium breve,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
4,osmolality,~890 mOsm/kg,Bifidobacterium breve S1 ATCC 15700,0.096038244,0.458,3,Bifidobacterium breve,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
4,osmolality,~890 mOsm/kg,Bifidobacterium breve S1 ATCC 15700,0.08941502,0.497,3,Bifidobacterium breve,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
1,osmolality,~1170 mOsm/kg,Bifidobacterium breve S1 ATCC 15700,0.181991371,0.946,3,Bifidobacterium breve,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
1,osmolality,~1170 mOsm/kg,Bifidobacterium breve S1 ATCC 15700,0.116961904,0.222,3,Bifidobacterium breve,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
1,osmolality,~1170 mOsm/kg,Bifidobacterium breve S1 ATCC 15700,0.169643419,0.91,3,Bifidobacterium breve,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
2,osmolality,~1800 mOsm/kg,Bifidobacterium breve S1 ATCC 15700,0.087415817,0.739,3,Bifidobacterium breve,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
2,osmolality,~1800 mOsm/kg,Bifidobacterium breve S1 ATCC 15700,0.081683663,0.698,3,Bifidobacterium breve,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
2,osmolality,~1800 mOsm/kg,Bifidobacterium breve S1 ATCC 15700,0.054708773,0.488,3,Bifidobacterium breve,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
5,pH,pH 4,Bifidobacterium dentium ATCC 27678,0,0,4,Bifidobacterium dentium,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
5,pH,pH 4,Bifidobacterium dentium ATCC 27678,0,0,4,Bifidobacterium dentium,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
5,pH,pH 4,Bifidobacterium dentium ATCC 27678,0,0,4,Bifidobacterium dentium,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
6,pH,pH 5.5,Bifidobacterium dentium ATCC 27678,0.21539792,1.003,4,Bifidobacterium dentium,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
6,pH,pH 5.5,Bifidobacterium dentium ATCC 27678,0.210100527,0.983,4,Bifidobacterium dentium,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
6,pH,pH 5.5,Bifidobacterium dentium ATCC 27678,0.181009525,0.972,4,Bifidobacterium dentium,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
7,pH,pH 6.9,Bifidobacterium dentium ATCC 27678,0.326220849,1.077,4,Bifidobacterium dentium,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
7,pH,pH 6.9,Bifidobacterium dentium ATCC 27678,0.313240251,1.129,4,Bifidobacterium dentium,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
7,pH,pH 6.9,Bifidobacterium dentium ATCC 27678,0.310937236,1.083,4,Bifidobacterium dentium,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
8,pH,pH 7.4,Bifidobacterium dentium ATCC 27678,0.311834917,0.988,4,Bifidobacterium dentium,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
8,pH,pH 7.4,Bifidobacterium dentium ATCC 27678,0.268518537,0.939,4,Bifidobacterium dentium,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
8,pH,pH 7.4,Bifidobacterium dentium ATCC 27678,0.160614873,1.125,4,Bifidobacterium dentium,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
3,osmolality,lowest osmolality,Bifidobacterium dentium ATCC 27678,0.382318027,1.142,4,Bifidobacterium dentium,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,#e69f00,#e9a91a,#edba48,#f3d183
