Condition_numeric,type,condition_category,Strain,category_magnitude,delta_pH,corrected_individual_rate,corrected_individual_OD,corrected_lag_time,condition,SILVA_phylum,SILVA_class,SILVA_order,SILVA_family,SILVA_genus,,,,
7,pH,pH 6.9,Acidaminococcus intestini D21 HM-81,2,1.077169676,0.259423594,0.887,14.21972222,6.9,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,,,
7,pH,pH 6.9,Acidaminococcus intestini D21 HM-81,2,0.945155352,0.262347588,0.895,13.99805556,6.9,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,,,
7,pH,pH 6.9,Acidaminococcus intestini D21 HM-81,2,0,0.264637322,0.892,13.99805556,6.9,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,,,
8,pH,pH 7.4,Acidaminococcus intestini D21 HM-81,1,0,0.25650138,0.971,0.033888889,7.4,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,,,
8,pH,pH 7.4,Acidaminococcus intestini D21 HM-81,1,0.508039253,0.279769876,0.979,17.54472222,7.4,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,,,
8,pH,pH 7.4,Acidaminococcus intestini D21 HM-81,1,0.522682871,0.284319543,0.975,16.87972222,7.4,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,,,
5,osmolality,condition 1: lowest osmolality,Akkermansia muciniphila ATCC BAA-835,1,1.786111059,0.024995151,0.553,9.786388889,364,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,,,
5,osmolality,condition 1: lowest osmolality,Akkermansia muciniphila ATCC BAA-835,1,0,0.026281974,0.547,9.564722222,364,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,,,
5,osmolality,condition 1: lowest osmolality,Akkermansia muciniphila ATCC BAA-835,1,1.749855192,0.027363797,0.547,9.121666667,364,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,,,
6,osmolality,condition 2: ~890 mOsm/kg,Akkermansia muciniphila ATCC BAA-835,2,0,0,0,0,891,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,,,
6,osmolality,condition 2: ~890 mOsm/kg,Akkermansia muciniphila ATCC BAA-835,2,0,0,0,0,891,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,,,
6,osmolality,condition 2: ~890 mOsm/kg,Akkermansia muciniphila ATCC BAA-835,2,0,0,0,0,891,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,,,
2,osmolality,condition 3: ~1170 mOsm/kg,Akkermansia muciniphila ATCC BAA-835,3,0,0,0,0,1178,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,,,
2,osmolality,condition 3: ~1170 mOsm/kg,Akkermansia muciniphila ATCC BAA-835,3,0,0,0,0,1178,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,,,
2,osmolality,condition 3: ~1170 mOsm/kg,Akkermansia muciniphila ATCC BAA-835,3,0,0,0,0,1178,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,,,
4,osmolality,condition 4: ~1800 mOsm/kg,Akkermansia muciniphila ATCC BAA-835,4,0,0,0,0,1806,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,,,
4,osmolality,condition 4: ~1800 mOsm/kg,Akkermansia muciniphila ATCC BAA-835,4,0,0,0,0,1806,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,,,
4,osmolality,condition 4: ~1800 mOsm/kg,Akkermansia muciniphila ATCC BAA-835,4,0,0,0,0,1806,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,,,
8,pH,pH 4,Akkermansia muciniphila ATCC BAA-835,4,0,0,0,0,4.1,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,,,
8,pH,pH 4,Akkermansia muciniphila ATCC BAA-835,4,0,0,0,0,4.1,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,,,
8,pH,pH 4,Akkermansia muciniphila ATCC BAA-835,4,0,0,0,0,4.1,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,,,
10,pH,pH 5.5,Akkermansia muciniphila ATCC BAA-835,3,0,0.008326655,0.155,46.09416667,5.6,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,,,
10,pH,pH 5.5,Akkermansia muciniphila ATCC BAA-835,3,0.46472607,0.008387982,0.185,42.81805556,5.6,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,,,
10,pH,pH 5.5,Akkermansia muciniphila ATCC BAA-835,3,0.621970721,0.008842969,0.194,41.70944444,5.6,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,,,
11,pH,pH 6.9,Akkermansia muciniphila ATCC BAA-835,2,0,0.018905813,0.481,10.67305556,6.7,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,,,
11,pH,pH 6.9,Akkermansia muciniphila ATCC BAA-835,2,1.534443413,0.021133506,0.514,10.67305556,6.7,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,,,
11,pH,pH 6.9,Akkermansia muciniphila ATCC BAA-835,2,1.451565156,0.021591378,0.524,10.00805556,6.7,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,,,
13,pH,pH 7.4,Akkermansia muciniphila ATCC BAA-835,1,1.065884265,0.02851934,0.497,9.786388889,7.2,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,,,
13,pH,pH 7.4,Akkermansia muciniphila ATCC BAA-835,1,0,0.029278511,0.517,9.343055556,7.2,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,,,
13,pH,pH 7.4,Akkermansia muciniphila ATCC BAA-835,1,1.037384683,0.029661501,0.539,9.121666667,7.2,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,,,
3,osmolality,condition 1: lowest osmolality,Anaerostipes caccae 3_2_56FAA HM-220,1,0.312117924,0.503176071,1.128,0.312117924,472,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,,,
3,osmolality,condition 1: lowest osmolality,Anaerostipes caccae 3_2_56FAA HM-220,1,0.341059868,0.511268469,1.098,0.341059868,472,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,,,
3,osmolality,condition 1: lowest osmolality,Anaerostipes caccae 3_2_56FAA HM-220,1,0.309585355,0.552789944,1.155,0.309585355,472,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Anaerostipes caccae 3_2_56FAA HM-220,2,0.177057317,0.351884033,0.889,0.177057317,862,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Anaerostipes caccae 3_2_56FAA HM-220,2,0.127392074,0.363025997,0.924,0.127392074,862,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Anaerostipes caccae 3_2_56FAA HM-220,2,0.177035132,0.363925469,0.998,0.177035132,862,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Anaerostipes caccae 3_2_56FAA HM-220,3,0,0.093577602,0.424,0,1247,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Anaerostipes caccae 3_2_56FAA HM-220,3,0.240345206,0.114809978,0.474,0.240345206,1247,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Anaerostipes caccae 3_2_56FAA HM-220,3,0.237119021,0.131975255,0.489,0.237119021,1247,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Anaerostipes caccae 3_2_56FAA HM-220,4,0,0,0,0,1824,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Anaerostipes caccae 3_2_56FAA HM-220,4,0,0,0,0,1824,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Anaerostipes caccae 3_2_56FAA HM-220,4,0,0,0,0,1824,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,,,
5,pH,pH 4,Anaerostipes caccae 3_2_56FAA HM-220,4,0,0,0,0,4.1,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,,,
5,pH,pH 4,Anaerostipes caccae 3_2_56FAA HM-220,4,0,0,0,0,4.1,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,,,
5,pH,pH 4,Anaerostipes caccae 3_2_56FAA HM-220,4,0,0,0,0,4.1,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,,,
6,pH,pH 5.5,Anaerostipes caccae 3_2_56FAA HM-220,3,0,0.242980011,1.25,0,5.7,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,,,
6,pH,pH 5.5,Anaerostipes caccae 3_2_56FAA HM-220,3,0.352075275,0.247173937,1.264,0.352075275,5.7,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,,,
6,pH,pH 5.5,Anaerostipes caccae 3_2_56FAA HM-220,3,-0.05606175,0.248467501,1.285,-0.05606175,5.7,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,,,
7,pH,pH 6.9,Anaerostipes caccae 3_2_56FAA HM-220,2,0.237499596,0.470196255,1.155,0.237499596,6.9,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,,,
7,pH,pH 6.9,Anaerostipes caccae 3_2_56FAA HM-220,2,0,0.482849054,1.198,0,6.9,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,,,
7,pH,pH 6.9,Anaerostipes caccae 3_2_56FAA HM-220,2,0.279684712,0.513547606,1.186,0.279684712,6.9,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,,,
8,pH,pH 7.4,Anaerostipes caccae 3_2_56FAA HM-220,1,0.195939711,0.394735763,0.877,0.195939711,7.6,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,,,
8,pH,pH 7.4,Anaerostipes caccae 3_2_56FAA HM-220,1,0.208649625,0.428641633,0.975,0.208649625,7.6,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,,,
8,pH,pH 7.4,Anaerostipes caccae 3_2_56FAA HM-220,1,0.216683644,0.434755602,0.942,0.216683644,7.6,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,,,
3,osmolality,condition 1: lowest osmolality,Bacillus sp. 7_6_55CFAA_CT2 HM-231,1,0.773058112,0.314236298,1.048,2.693888889,446,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
3,osmolality,condition 1: lowest osmolality,Bacillus sp. 7_6_55CFAA_CT2 HM-231,1,0,0.360151997,0.91,0.033888889,446,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
3,osmolality,condition 1: lowest osmolality,Bacillus sp. 7_6_55CFAA_CT2 HM-231,1,0.417793546,0.469557535,0.927,2.693888889,446,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Bacillus sp. 7_6_55CFAA_CT2 HM-231,2,0.646190884,0.187462278,0.953,3.358888889,891,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Bacillus sp. 7_6_55CFAA_CT2 HM-231,2,0,0.235772394,0.897,3.580555556,891,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Bacillus sp. 7_6_55CFAA_CT2 HM-231,2,0.390247804,0.237995844,0.99,3.358888889,891,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Bacillus sp. 7_6_55CFAA_CT2 HM-231,3,0.540717886,0.136165611,0.982,3.802222222,1179,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Bacillus sp. 7_6_55CFAA_CT2 HM-231,3,0.570454377,0.153626727,0.801,0.033888889,1179,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Bacillus sp. 7_6_55CFAA_CT2 HM-231,3,0.536840056,0.195662674,0.703,4.467222222,1179,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Bacillus sp. 7_6_55CFAA_CT2 HM-231,4,0.315660608,0.016177509,0.138,10.67388889,1784,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Bacillus sp. 7_6_55CFAA_CT2 HM-231,4,0,0.02982785,0.276,0.033888889,1784,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Bacillus sp. 7_6_55CFAA_CT2 HM-231,4,0.303737533,0.095229687,0.506,12.66888889,1784,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
5,pH,pH 4,Bacillus sp. 7_6_55CFAA_CT2 HM-231,4,0,0,0,0,4,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
5,pH,pH 4,Bacillus sp. 7_6_55CFAA_CT2 HM-231,4,0,0,0,0,4,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
5,pH,pH 4,Bacillus sp. 7_6_55CFAA_CT2 HM-231,4,0,0,0,0,4,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
6,pH,pH 5.5,Bacillus sp. 7_6_55CFAA_CT2 HM-231,3,0,0,0,0,5.4,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
6,pH,pH 5.5,Bacillus sp. 7_6_55CFAA_CT2 HM-231,3,0,0,0,0,5.4,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
6,pH,pH 5.5,Bacillus sp. 7_6_55CFAA_CT2 HM-231,3,0,0,0,0,5.4,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
7,pH,pH 6.9,Bacillus sp. 7_6_55CFAA_CT2 HM-231,2,0.799230901,0.260365756,0.927,3.137222222,6.7,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
7,pH,pH 6.9,Bacillus sp. 7_6_55CFAA_CT2 HM-231,2,0,0.281298007,0.915,0.033888889,6.7,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
7,pH,pH 6.9,Bacillus sp. 7_6_55CFAA_CT2 HM-231,2,0.493574367,0.285629142,0.989,3.137222222,6.7,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
8,pH,pH 7.4,Bacillus sp. 7_6_55CFAA_CT2 HM-231,1,0,0.517492737,1.082,2.693888889,7.4,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
8,pH,pH 7.4,Bacillus sp. 7_6_55CFAA_CT2 HM-231,1,0.626398423,0.528633598,1.075,2.693888889,7.4,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
8,pH,pH 7.4,Bacillus sp. 7_6_55CFAA_CT2 HM-231,1,0.364611932,0.535597378,1.084,2.693888889,7.4,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
3,osmolality,condition 1: lowest osmolality,Bacteroides caccae ATCC 43185,1,0.840444375,0.092823256,0.953,1.141944444,446,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
3,osmolality,condition 1: lowest osmolality,Bacteroides caccae ATCC 43185,1,0.810553094,0.098911053,0.963,0.920555556,446,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
3,osmolality,condition 1: lowest osmolality,Bacteroides caccae ATCC 43185,1,0,0.128315489,1.068,0.698888889,446,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Bacteroides caccae ATCC 43185,2,0.665962903,0.084396177,0.874,1.585277778,891,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Bacteroides caccae ATCC 43185,2,0.638469146,0.085653668,0.864,1.585277778,891,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Bacteroides caccae ATCC 43185,2,0,0.120483547,0.965,1.141944444,891,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Bacteroides caccae ATCC 43185,3,0.597197231,0.035240879,0.515,2.471944444,1179,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Bacteroides caccae ATCC 43185,3,0.500238889,0.035968021,0.521,2.471944444,1179,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Bacteroides caccae ATCC 43185,3,0,0.055951628,0.724,2.028611111,1179,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Bacteroides caccae ATCC 43185,4,0,0,0,0,1784,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Bacteroides caccae ATCC 43185,4,0,0,0,0,1784,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Bacteroides caccae ATCC 43185,4,0,0,0,0,1784,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
5,pH,pH 4,Bacteroides caccae ATCC 43185,4,0,0,0,0,4,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
5,pH,pH 4,Bacteroides caccae ATCC 43185,4,0,0,0,0,4,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
5,pH,pH 4,Bacteroides caccae ATCC 43185,4,0,0,0,0,4,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
6,pH,pH 5.5,Bacteroides caccae ATCC 43185,3,0.372725825,0.020103935,0.342,2.250277778,5.5,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
6,pH,pH 5.5,Bacteroides caccae ATCC 43185,3,0.377154804,0.024621966,0.385,2.471944444,5.5,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
6,pH,pH 5.5,Bacteroides caccae ATCC 43185,3,0,0.036133296,0.482,0.033888889,5.5,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
7,pH,pH 6.9,Bacteroides caccae ATCC 43185,2,0.736084044,0.112351455,0.98,1.141944444,6.7,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
7,pH,pH 6.9,Bacteroides caccae ATCC 43185,2,0.731628182,0.113485192,0.994,1.141944444,6.7,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
7,pH,pH 6.9,Bacteroides caccae ATCC 43185,2,0,0.130071683,1.002,0.033888889,6.7,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
8,pH,pH 7.4,Bacteroides caccae ATCC 43185,1,0.327177575,0.13360995,1.044,1.141944444,7.4,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
8,pH,pH 7.4,Bacteroides caccae ATCC 43185,1,0.407373696,0.141619646,1.049,1.141944444,7.4,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
8,pH,pH 7.4,Bacteroides caccae ATCC 43185,1,0,0.166574917,1.07,0.033888889,7.4,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
3,osmolality,condition 1: lowest osmolality,Bacteroides caccae CL03T12C61 HM-728,1,0.692207063,0.082750132,0.851,0.033888889,446,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
3,osmolality,condition 1: lowest osmolality,Bacteroides caccae CL03T12C61 HM-728,1,0,0.086009686,0.901,1.585277778,446,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
3,osmolality,condition 1: lowest osmolality,Bacteroides caccae CL03T12C61 HM-728,1,0.700032276,0.086592616,0.835,2.028611111,446,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Bacteroides caccae CL03T12C61 HM-728,2,0.2570976,0.007127368,0.261,4.245,891,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Bacteroides caccae CL03T12C61 HM-728,2,0.18963245,0.009148132,0.324,3.801666667,891,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Bacteroides caccae CL03T12C61 HM-728,2,0,0.026025592,0.498,2.915277778,891,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Bacteroides caccae CL03T12C61 HM-728,3,0,0,0,0,1179,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Bacteroides caccae CL03T12C61 HM-728,3,0,0,0,0,1179,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Bacteroides caccae CL03T12C61 HM-728,3,0,0,0,0,1179,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,
